0x7E 0x11 0x11 0x11 0x7E
0x7F 0x49 0x49 0x49 0x36
0x3E 0x41 0x41 0x41 0x22
0x7F 0x41 0x41 0x22 0x1C
0x7F 0x49 0x49 0x49 0x41
0x7F 0x09 0x09 0x01 0x01
0x3E 0x41 0x41 0x51 0x32
0x7F 0x08 0x08 0x08 0x7F
0x00 0x41 0x7F 0x41 0x00
0x20 0x40 0x41 0x3F 0x01
0x7F 0x08 0x14 0x22 0x41
0x7F 0x40 0x40 0x40 0x40
0x7F 0x02 0x04 0x02 0x7F
0x7F 0x04 0x08 0x10 0x7F
0x3E 0x41 0x41 0x41 0x3E
0x7F 0x09 0x09 0x09 0x06
0x3E 0x41 0x51 0x21 0x5E
0x7F 0x09 0x19 0x29 0x46
0x46 0x49 0x49 0x49 0x31
0x01 0x01 0x7F 0x01 0x01
0x3F 0x40 0x40 0x40 0x3F
0x1F 0x20 0x40 0x20 0x1F
0x7F 0x20 0x18 0x20 0x7F
0x63 0x14 0x08 0x14 0x63
0x03 0x04 0x78 0x04 0x03
0x61 0x51 0x49 0x45 0x43






